"","YEAR","PRIMARY_SAMPLE_UNIT","lat","lon"
"444",2024,"1945",25.57505,-80.09101
"445",2024,"8001",25.43398,-80.19298
"446",2024,"8002",24.61359,-81.39339
"447",2024,"8003",25.46825,-80.15861
"448",2024,"8004",25.51022,-80.13598
"449",2024,"8005",24.61461,-81.39344
"450",2024,"8006",25.33777,-80.19982
"451",2024,"8007",24.61588,-81.39077
"452",2024,"8008",25.34428,-80.16349
"453",2024,"8009",24.61422,-81.39231
"454",2024,"8010",25.34028,-80.1979
"455",2024,"8011",25.40885,-80.16865
"456",2024,"8012",24.8968,-80.6185
"457",2024,"8013",24.89682,-80.61996
"458",2024,"8014",25.36695,-80.1766
"459",2024,"8015",25.34832,-80.16493
"460",2024,"8016",25.49174,-80.14422
"461",2024,"8017",24.89635,-80.61804
"462",2024,"8018",24.89683,-80.61708
"463",2024,"8019",24.89686,-80.62049
"464",2024,"8020",24.89727,-80.62143
"465",2024,"8021",24.89732,-80.6184
"466",2024,"8022",25.36762,-80.16458
"467",2024,"8024",25.35166,-80.15875
"468",2024,"8025",25.36376,-80.16738
"469",2024,"8026",25.41063,-80.15504
"470",2024,"8027",25.44931,-80.15816
"471",2024,"8028",25.44106,-80.14202
"472",2024,"8029",25.40926,-80.1536
"473",2024,"8030",25.46142,-80.14139
"474",2024,"8031",25.60257,-80.12409
"475",2024,"8032",25.45508,-80.14896
"476",2024,"8033",25.35176,-80.16001
"477",2024,"8034",25.39265,-80.14636
"478",2024,"8035",25.51712,-80.12957
"479",2024,"8036",25.40705,-80.15898
"480",2024,"8037",25.37494,-80.17079
"481",2024,"8038",25.36146,-80.15943
"482",2024,"8039",25.37267,-80.16184
"483",2024,"8040",25.3391,-80.19251
"484",2024,"8042",25.42325,-80.14719
"485",2024,"8043",25.47197,-80.13164
"486",2024,"8045",25.36101,-80.18077
"487",2024,"8046",25.42046,-80.14711
"488",2024,"8047",25.50093,-80.134
"489",2024,"8048",25.22432,-80.20955
"490",2024,"8049",25.39025,-80.16321
"491",2024,"8050",25.21132,-80.21951
"492",2024,"8051",25.36484,-80.14394
"493",2024,"8052",25.63998,-80.10411
"494",2024,"8053",25.58937,-80.10266
"495",2024,"8054",24.46014,-81.84536
"496",2024,"8055",24.45966,-81.84396
"497",2024,"8056",24.46006,-81.84296
"498",2024,"8057",24.54676,-81.40457
"499",2024,"8058",24.54678,-81.40313
"500",2024,"8059",24.54549,-81.40946
"501",2024,"8060",24.62632,-81.11043
"502",2024,"8061",25.61123,-80.099
"503",2024,"8062",25.29904,-80.17017
"504",2024,"8063",25.34321,-80.14794
"505",2024,"8064",25.44634,-80.12106
"506",2024,"8065",25.49947,-80.12086
"507",2024,"8066",25.57372,-80.10287
"508",2024,"8067",25.21639,-80.21851
"509",2024,"8068",25.49191,-80.11147
"510",2024,"8069",25.58891,-80.0981
"511",2024,"8070",25.46928,-80.13325
"512",2024,"8071",25.46647,-80.13241
"513",2024,"8072",24.54502,-81.4061
"514",2024,"8073",25.40334,-80.13417
"515",2024,"8074",24.62589,-81.10961
"516",2024,"8075",24.62488,-81.11191
"517",2024,"8076",25.22167,-80.20995
"518",2024,"8077",25.2185,-80.21521
"519",2024,"8078",25.22751,-80.20597
"520",2024,"8079",25.21897,-80.21183
"521",2024,"8080",25.2244,-80.208
